equipment,failure_start,failure_end,maintenance_type,failure_mode,cost,work_order
C-203,2023-05-17 21:59:39,2023-05-18 01:09:06,CORRECTIVE,SENSOR_FAULT,3147.38,WO-53303
P-101,2023-05-22 06:23:27,2023-05-22 07:30:10,CORRECTIVE,SEAL_LEAK,703.52,WO-65591
M-302,2023-06-03 23:51:29,2023-06-03 23:57:28,CORRECTIVE,VIBRATION,1539.84,WO-86218
C-202,2023-06-05 23:50:22,2023-06-06 02:26:19,CORRECTIVE,OVERHEATING,2097.97,WO-92152
C-203,2023-06-18 22:09:01,2023-06-19 07:02:16,CORRECTIVE,VIBRATION,3308.46,WO-81520
P-101,2023-06-19 05:34:50,2023-06-19 22:05:17,CORRECTIVE,BEARING_FAIL,3140.38,WO-73704
P-101,2023-06-24 20:49:01,2023-06-25 06:12:21,CORRECTIVE,SEAL_LEAK,4109.89,WO-58984
P-105,2023-06-29 04:43:16,2023-06-29 05:12:25,CORRECTIVE,SENSOR_FAULT,1748.22,WO-56427
P-102,2023-06-29 17:20:53,2023-06-30 00:02:31,CORRECTIVE,BEARING_FAIL,3271.33,WO-78385
C-201,2023-07-02 08:35:45,2023-07-03 18:32:54,CORRECTIVE,BEARING_FAIL,2111.73,WO-17239
C-202,2023-07-10 09:06:36,2023-07-10 09:22:21,CORRECTIVE,BEARING_FAIL,3009.84,WO-87735
C-201,2023-07-16 21:51:08,2023-07-17 14:24:00,CORRECTIVE,VIBRATION,2840.74,WO-47131
P-102,2023-07-23 11:37:05,2023-07-23 11:42:59,CORRECTIVE,VIBRATION,2764.11,WO-70160
M-302,2023-07-25 09:43:40,2023-07-25 13:00:15,CORRECTIVE,SEAL_LEAK,4099.62,WO-82258
P-104,2023-08-01 22:44:35,2023-08-02 01:31:07,CORRECTIVE,OVERHEATING,3012.82,WO-35289
C-202,2023-08-07 11:00:53,2023-08-07 11:24:32,CORRECTIVE,SEAL_LEAK,2018.51,WO-94659
P-103,2023-08-25 13:09:47,2023-08-25 15:00:21,CORRECTIVE,SEAL_LEAK,1940.22,WO-76234
P-101,2023-08-29 06:29:55,2023-08-30 00:15:09,CORRECTIVE,SEAL_LEAK,524.85,WO-15258
C-203,2023-08-31 06:22:46,2023-08-31 11:20:33,CORRECTIVE,SEAL_LEAK,2099.13,WO-21246
P-101,2023-09-02 08:03:49,2023-09-02 22:58:25,CORRECTIVE,VIBRATION,3226.82,WO-13561
P-103,2023-09-05 07:51:09,2023-09-05 07:59:47,CORRECTIVE,SENSOR_FAULT,4574.22,WO-46939
P-101,2023-09-09 14:46:30,2023-09-09 16:15:10,CORRECTIVE,OVERHEATING,3304.84,WO-62256
P-101,2023-09-10 15:53:36,2023-09-10 20:21:48,CORRECTIVE,SEAL_LEAK,3783.23,WO-73335
P-101,2023-09-15 15:59:43,2023-09-16 01:52:51,CORRECTIVE,SEAL_LEAK,4872.7,WO-37266
P-102,2023-09-21 16:48:32,2023-09-22 00:09:30,CORRECTIVE,BEARING_FAIL,619.3,WO-98223
M-301,2023-09-22 05:51:53,2023-09-22 12:54:24,CORRECTIVE,SEAL_LEAK,1009.57,WO-46244
C-203,2023-09-26 03:26:27,2023-09-26 09:00:46,CORRECTIVE,VIBRATION,2942.82,WO-51157
C-202,2023-09-28 01:11:43,2023-09-28 03:38:11,CORRECTIVE,VIBRATION,4939.32,WO-13812
C-201,2023-09-29 16:46:10,2023-10-03 03:21:29,CORRECTIVE,VIBRATION,2315.67,WO-63871
P-101,2023-10-07 12:49:20,2023-10-07 22:42:32,CORRECTIVE,VIBRATION,2722.08,WO-10206
P-105,2023-10-08 11:03:11,2023-10-08 13:10:08,CORRECTIVE,OVERHEATING,3126.45,WO-37355
M-301,2023-10-10 06:40:50,2023-10-10 07:16:54,CORRECTIVE,SEAL_LEAK,1994.66,WO-63173
P-101,2023-10-16 07:31:20,2023-10-16 07:49:52,CORRECTIVE,SEAL_LEAK,641.43,WO-64268
P-103,2023-10-19 20:47:27,2023-10-20 05:01:08,CORRECTIVE,OVERHEATING,3080.47,WO-15486
P-101,2023-10-26 23:35:18,2023-10-28 04:09:49,CORRECTIVE,SEAL_LEAK,2346.72,WO-43827
P-103,2023-10-29 01:02:16,2023-10-29 01:17:23,CORRECTIVE,OVERHEATING,1978.99,WO-21130
P-105,2023-11-21 00:16:11,2023-11-21 01:33:57,CORRECTIVE,VIBRATION,3641.73,WO-48088
P-103,2023-11-22 08:27:22,2023-11-22 16:06:33,CORRECTIVE,SEAL_LEAK,1010.59,WO-99780
C-201,2023-11-22 18:25:03,2023-11-23 07:30:48,CORRECTIVE,SENSOR_FAULT,3291.39,WO-47441
P-101,2023-12-10 02:32:00,2023-12-10 13:29:42,CORRECTIVE,BEARING_FAIL,4462.11,WO-74044
P-101,2023-12-15 19:39:34,2023-12-15 20:59:50,CORRECTIVE,BEARING_FAIL,1482.98,WO-35939
M-301,2023-12-21 00:38:37,2023-12-21 03:15:07,CORRECTIVE,SENSOR_FAULT,2206.88,WO-85060
P-105,2023-12-27 02:12:12,2023-12-27 09:26:24,CORRECTIVE,OVERHEATING,1719.31,WO-37532
M-302,2024-01-01 00:04:04,2024-01-01 03:00:59,CORRECTIVE,BEARING_FAIL,4123.92,WO-97127
P-101,2024-01-18 08:05:24,2024-01-18 17:23:28,CORRECTIVE,OVERHEATING,4532.41,WO-54262
P-104,2024-01-22 02:40:02,2024-01-22 03:09:55,CORRECTIVE,VIBRATION,1641.57,WO-96769
M-301,2024-01-30 03:54:41,2024-01-30 08:38:42,CORRECTIVE,SENSOR_FAULT,3216.75,WO-50738
P-103,2024-01-30 23:04:01,2024-01-30 23:13:20,CORRECTIVE,BEARING_FAIL,2486.89,WO-48102
C-201,2024-02-04 08:27:25,2024-02-06 16:29:15,CORRECTIVE,OVERHEATING,4912.08,WO-65393
C-202,2024-02-09 22:38:29,2024-02-09 22:39:47,CORRECTIVE,SENSOR_FAULT,1187.87,WO-81158
C-203,2024-02-22 08:16:55,2024-02-22 15:18:06,CORRECTIVE,BEARING_FAIL,1126.72,WO-90910
P-101,2024-02-23 07:47:02,2024-02-23 11:35:44,CORRECTIVE,BEARING_FAIL,502.34,WO-65016
P-101,2024-02-28 22:27:57,2024-02-29 00:37:29,CORRECTIVE,BEARING_FAIL,2681.73,WO-23545
P-101,2024-03-06 04:54:43,2024-03-07 15:16:09,CORRECTIVE,SEAL_LEAK,2834.56,WO-78840
P-104,2024-03-08 08:07:02,2024-03-08 08:21:43,CORRECTIVE,OVERHEATING,3952.38,WO-35470
C-202,2024-03-14 04:19:31,2024-03-14 09:49:01,CORRECTIVE,SEAL_LEAK,861.05,WO-34818
C-202,2024-03-15 07:46:00,2024-03-15 11:12:46,CORRECTIVE,BEARING_FAIL,3091.99,WO-38746
P-101,2024-03-15 09:28:32,2024-03-15 10:16:51,CORRECTIVE,SEAL_LEAK,1610.94,WO-75318
M-301,2024-03-20 03:27:43,2024-03-20 05:42:33,CORRECTIVE,VIBRATION,4653.32,WO-18070
P-101,2024-03-25 17:50:17,2024-03-25 22:08:00,CORRECTIVE,SEAL_LEAK,665.99,WO-36736
M-302,2024-04-03 15:26:21,2024-04-03 22:27:20,CORRECTIVE,VIBRATION,4831.92,WO-64771
C-201,2024-04-06 23:35:17,2024-04-07 19:00:38,CORRECTIVE,VIBRATION,4568.71,WO-93251
P-103,2024-04-20 04:05:46,2024-04-20 07:18:02,CORRECTIVE,OVERHEATING,3596.14,WO-92873
P-102,2024-04-27 20:07:03,2024-04-28 01:35:02,CORRECTIVE,BEARING_FAIL,3080.15,WO-14000
P-103,2024-05-01 00:00:00,2024-04-30 22:00:00,CORRECTIVE,UNKNOWN,1000.0,WO-99999
M-301,2024-05-01 00:21:01,2024-05-01 04:14:58,CORRECTIVE,SEAL_LEAK,3141.81,WO-51914
P-101,2024-05-21 06:10:13,2024-05-21 12:31:23,CORRECTIVE,SEAL_LEAK,2052.82,WO-65680
P-104,2024-05-23 21:28:10,2024-05-24 03:15:31,CORRECTIVE,SENSOR_FAULT,1568.78,WO-76040
P-101,2024-05-25 15:06:46,2024-05-25 16:59:28,CORRECTIVE,BEARING_FAIL,4935.43,WO-97455
C-201,2024-06-01 11:19:38,2024-06-02 01:42:54,CORRECTIVE,OVERHEATING,1840.82,WO-62329
P-101,2024-06-08 04:20:32,2024-06-08 05:21:14,CORRECTIVE,SEAL_LEAK,1589.72,WO-47157
C-203,2024-06-13 09:57:05,2024-06-13 14:48:40,CORRECTIVE,VIBRATION,4048.69,WO-20789
P-101,2024-06-15 02:25:20,2024-06-15 14:25:41,CORRECTIVE,BEARING_FAIL,2910.99,WO-90623
C-202,2024-06-23 03:05:10,2024-06-23 07:59:21,CORRECTIVE,SEAL_LEAK,2708.37,WO-23234
M-302,2024-06-23 10:38:53,2024-06-23 11:28:46,CORRECTIVE,BEARING_FAIL,558.51,WO-26032
P-104,2024-06-27 11:08:06,2024-06-27 12:33:22,CORRECTIVE,SEAL_LEAK,1506.18,WO-77641
P-104,2024-06-28 10:00:07,2024-06-29 00:47:46,CORRECTIVE,SENSOR_FAULT,1952.09,WO-30559
M-301,2024-06-29 05:26:16,2024-06-29 05:52:49,CORRECTIVE,SEAL_LEAK,2742.65,WO-55765
M-301,2024-07-02 14:58:50,2024-07-02 16:04:07,CORRECTIVE,SENSOR_FAULT,3112.65,WO-14757
P-101,2024-07-09 14:51:33,2024-07-09 16:49:11,CORRECTIVE,BEARING_FAIL,3631.16,WO-59811
M-302,2024-07-10 11:46:24,2024-07-10 11:52:15,CORRECTIVE,SENSOR_FAULT,4444.0,WO-60460
P-101,2024-07-15 14:49:36,2024-07-15 17:48:43,CORRECTIVE,VIBRATION,4142.75,WO-21411
M-301,2024-07-27 00:59:56,2024-07-27 01:41:45,CORRECTIVE,SEAL_LEAK,1301.16,WO-56163
P-103,2024-07-27 03:02:06,2024-07-27 03:18:51,CORRECTIVE,SENSOR_FAULT,1501.59,WO-72856
P-101,2024-07-31 06:49:00,2024-07-31 09:06:58,CORRECTIVE,BEARING_FAIL,2240.31,WO-21111
P-101,2024-08-02 14:22:34,2024-08-02 19:22:54,CORRECTIVE,SEAL_LEAK,4661.12,WO-95981
P-105,2024-08-18 14:52:46,2024-08-18 22:19:23,CORRECTIVE,BEARING_FAIL,2374.88,WO-80340
M-302,2024-08-19 10:31:04,2024-08-19 18:36:25,CORRECTIVE,SENSOR_FAULT,2038.18,WO-25358
C-201,2024-08-19 23:23:00,2024-08-22 23:03:07,CORRECTIVE,OVERHEATING,2567.06,WO-95392
P-101,2024-08-20 15:47:18,2024-08-20 18:54:08,CORRECTIVE,SEAL_LEAK,4919.76,WO-26371
P-104,2024-08-22 20:18:46,2024-08-23 17:14:59,CORRECTIVE,SENSOR_FAULT,1638.46,WO-40354
C-203,2024-08-26 14:32:44,2024-08-26 23:15:59,CORRECTIVE,VIBRATION,3847.76,WO-77779
P-101,2024-09-01 02:26:34,2024-09-01 05:45:55,CORRECTIVE,SEAL_LEAK,4537.47,WO-39855
P-102,2024-09-04 13:23:25,2024-09-05 00:21:13,CORRECTIVE,OVERHEATING,2237.46,WO-48304
P-101,2024-09-16 06:43:35,2024-09-16 11:41:42,CORRECTIVE,SEAL_LEAK,3766.8,WO-76690
C-202,2024-09-16 18:06:58,2024-09-16 21:46:29,CORRECTIVE,VIBRATION,3072.26,WO-56514
M-302,2024-09-23 15:14:10,2024-09-23 18:28:13,CORRECTIVE,OVERHEATING,4237.95,WO-43572
M-301,2024-09-25 07:11:56,2024-09-25 09:34:28,CORRECTIVE,OVERHEATING,2907.81,WO-72823
C-203,2024-10-10 16:31:10,2024-10-11 02:43:53,CORRECTIVE,VIBRATION,3895.86,WO-56197
C-201,2024-10-13 07:22:54,2024-10-13 14:33:04,CORRECTIVE,SENSOR_FAULT,4910.15,WO-24388
P-101,2024-10-15 14:09:57,2024-10-15 20:23:10,CORRECTIVE,OVERHEATING,4329.18,WO-42711
M-302,2024-11-01 05:06:50,2024-11-01 08:01:28,CORRECTIVE,BEARING_FAIL,4374.81,WO-27771
P-101,2024-11-07 22:19:09,2024-11-08 11:35:11,CORRECTIVE,BEARING_FAIL,2175.27,WO-48360
M-302,2024-11-12 08:29:25,2024-11-12 15:50:33,CORRECTIVE,VIBRATION,4525.49,WO-96143
P-105,2024-11-19 09:00:29,2024-11-19 11:20:25,CORRECTIVE,BEARING_FAIL,2982.15,WO-47892
P-105,2024-11-22 01:43:09,2024-11-22 03:45:10,CORRECTIVE,SEAL_LEAK,2661.67,WO-72292
P-101,2024-11-24 19:41:05,2024-11-24 19:44:45,CORRECTIVE,SEAL_LEAK,2969.3,WO-12869
C-201,2024-11-25 06:55:17,2024-11-25 12:33:08,CORRECTIVE,VIBRATION,1580.66,WO-16254
P-102,2024-11-25 21:22:09,2024-11-25 22:50:47,CORRECTIVE,SENSOR_FAULT,812.13,WO-48494
M-302,2024-11-27 08:01:40,2024-11-27 10:25:53,CORRECTIVE,SEAL_LEAK,1709.05,WO-45367
M-301,2024-12-02 18:55:22,2024-12-02 21:33:38,CORRECTIVE,SENSOR_FAULT,2287.93,WO-12482
P-101,2024-12-03 17:56:13,2024-12-06 08:16:51,CORRECTIVE,SEAL_LEAK,581.34,WO-96831
C-202,2024-12-16 12:05:22,2024-12-16 12:45:07,CORRECTIVE,BEARING_FAIL,1956.56,WO-68067
C-201,2024-12-22 16:36:19,2024-12-22 19:53:38,CORRECTIVE,VIBRATION,1124.72,WO-34071
M-301,2024-12-25 23:56:27,2024-12-26 06:35:50,CORRECTIVE,SENSOR_FAULT,3312.39,WO-52460
P-101,2024-12-26 22:19:46,2024-12-27 10:54:53,CORRECTIVE,OVERHEATING,3459.26,WO-54064
P-102,2025-01-01 17:46:58,2025-01-01 18:02:11,CORRECTIVE,BEARING_FAIL,3573.53,WO-35351
P-101,2025-01-08 04:27:31,2025-01-08 12:59:23,CORRECTIVE,BEARING_FAIL,1627.08,WO-89909
C-203,2025-01-10 08:58:20,2025-01-10 09:48:18,CORRECTIVE,OVERHEATING,2556.5,WO-74435
P-103,2025-01-18 09:37:23,2025-01-18 12:49:52,CORRECTIVE,SENSOR_FAULT,2809.97,WO-64693
C-202,2025-01-20 17:25:04,2025-01-20 18:13:09,CORRECTIVE,SEAL_LEAK,3247.79,WO-52533
C-201,2025-01-23 06:06:34,2025-01-24 10:43:36,CORRECTIVE,SEAL_LEAK,4535.55,WO-43434
C-203,2025-02-06 05:52:01,2025-02-06 17:12:20,CORRECTIVE,SENSOR_FAULT,2688.61,WO-94291
P-102,2025-02-08 13:29:37,2025-02-08 20:47:45,CORRECTIVE,BEARING_FAIL,1673.13,WO-30358
P-102,2025-02-18 15:13:14,2025-02-18 22:49:59,CORRECTIVE,SENSOR_FAULT,4714.92,WO-17543
M-302,2025-02-23 01:00:45,2025-02-23 02:52:46,CORRECTIVE,SEAL_LEAK,1127.1,WO-61693
M-301,2025-02-26 21:40:45,2025-02-27 00:06:17,CORRECTIVE,BEARING_FAIL,1823.2,WO-48258
C-202,2025-03-04 23:59:09,2025-03-05 00:28:11,CORRECTIVE,OVERHEATING,1942.89,WO-57362
P-101,2025-03-07 09:55:18,2025-03-07 17:55:31,CORRECTIVE,SENSOR_FAULT,2454.77,WO-58404
C-202,2025-03-07 15:54:47,2025-03-07 17:05:52,CORRECTIVE,BEARING_FAIL,2968.71,WO-19865
P-101,2025-03-18 05:21:43,2025-03-18 15:41:02,CORRECTIVE,BEARING_FAIL,1378.59,WO-50764
C-201,2025-03-27 19:23:10,2025-03-27 23:55:31,CORRECTIVE,BEARING_FAIL,1507.32,WO-67108
P-101,2025-03-29 00:38:12,2025-03-29 10:49:13,CORRECTIVE,VIBRATION,696.22,WO-66491
P-105,2025-04-05 20:04:26,2025-04-05 22:13:24,CORRECTIVE,VIBRATION,4289.54,WO-56540
P-105,2025-04-12 07:24:25,2025-04-12 07:34:07,CORRECTIVE,SEAL_LEAK,561.52,WO-57926
C-203,2025-04-15 14:46:03,2025-04-15 23:48:43,CORRECTIVE,VIBRATION,3622.77,WO-81315
C-203,2025-04-26 14:44:03,2025-04-27 07:43:12,CORRECTIVE,BEARING_FAIL,4762.78,WO-12443
M-301,2025-04-27 04:56:44,2025-04-27 07:06:43,CORRECTIVE,OVERHEATING,2664.9,WO-21485
C-201,2025-04-27 13:12:54,2025-04-27 21:03:08,CORRECTIVE,SENSOR_FAULT,643.12,WO-49749
P-104,2025-05-05 06:21:07,2025-05-05 09:28:46,CORRECTIVE,SEAL_LEAK,1475.64,WO-62638
P-101,2025-05-10 18:24:37,2025-05-12 07:20:27,CORRECTIVE,SENSOR_FAULT,2165.71,WO-73208
C-201,2025-05-24 06:55:17,2025-05-24 21:44:40,CORRECTIVE,BEARING_FAIL,4523.98,WO-91818
P-102,2025-06-02 03:03:11,2025-06-02 13:26:01,CORRECTIVE,SEAL_LEAK,2965.87,WO-48756
C-201,2025-06-10 11:31:35,2025-06-12 02:04:57,CORRECTIVE,SEAL_LEAK,3595.03,WO-65645
P-101,2025-06-27 04:37:50,2025-06-27 09:26:59,CORRECTIVE,BEARING_FAIL,3075.32,WO-76235
C-201,2025-07-11 16:10:53,2025-07-12 03:32:57,CORRECTIVE,SEAL_LEAK,1745.95,WO-89104
M-301,2025-07-16 16:58:51,2025-07-16 17:28:22,CORRECTIVE,SEAL_LEAK,2004.63,WO-22342
P-101,2025-07-26 03:42:32,2025-07-26 07:53:39,CORRECTIVE,SEAL_LEAK,4330.12,WO-95314
P-101,2025-07-29 02:45:11,2025-07-29 12:31:04,CORRECTIVE,SENSOR_FAULT,3632.13,WO-61885
P-101,2025-07-31 01:19:12,2025-07-31 12:46:28,CORRECTIVE,SENSOR_FAULT,1130.38,WO-92074
C-201,2025-08-03 20:59:52,2025-08-04 18:49:33,CORRECTIVE,OVERHEATING,1442.07,WO-92558
P-101,2025-08-05 18:45:48,2025-08-05 23:26:11,CORRECTIVE,OVERHEATING,1114.8,WO-88069
P-101,2025-08-12 15:48:49,2025-08-12 19:59:04,CORRECTIVE,OVERHEATING,4145.51,WO-39592
P-101,2025-08-27 00:21:49,2025-08-27 01:23:06,CORRECTIVE,SEAL_LEAK,3325.52,WO-12368
P-101,2025-08-28 03:52:29,2025-08-28 09:56:26,CORRECTIVE,SEAL_LEAK,4489.78,WO-23403
C-203,2025-09-03 01:13:23,2025-09-03 02:17:14,CORRECTIVE,BEARING_FAIL,3251.54,WO-66942
P-101,2025-09-10 09:16:09,2025-09-10 16:11:39,CORRECTIVE,BEARING_FAIL,1976.69,WO-62921
P-102,2025-09-18 10:22:08,2025-09-18 20:51:33,CORRECTIVE,SEAL_LEAK,3792.41,WO-27955
P-101,2025-09-22 09:49:13,2025-09-22 13:52:19,CORRECTIVE,BEARING_FAIL,637.25,WO-80313
P-101,2025-10-18 12:26:18,2025-10-18 17:47:51,CORRECTIVE,SEAL_LEAK,2850.09,WO-29508
C-202,2025-10-22 06:42:59,2025-10-22 07:50:22,CORRECTIVE,BEARING_FAIL,895.41,WO-11342
P-101,2025-10-23 11:51:18,2025-10-25 04:10:14,CORRECTIVE,BEARING_FAIL,4289.1,WO-68335
P-105,2025-10-23 21:29:37,2025-10-24 04:42:35,CORRECTIVE,SENSOR_FAULT,4984.87,WO-60612
P-102,2025-10-25 00:10:20,2025-10-25 09:43:46,CORRECTIVE,SENSOR_FAULT,1573.69,WO-30150
C-201,2025-10-31 09:51:44,2025-10-31 16:19:35,CORRECTIVE,OVERHEATING,2160.11,WO-54247
P-101,2025-11-05 13:01:04,2025-11-05 22:21:10,CORRECTIVE,BEARING_FAIL,3767.41,WO-27019
C-203,2025-11-10 17:34:22,2025-11-10 23:57:31,CORRECTIVE,OVERHEATING,3043.1,WO-74644
P-101,2025-11-24 17:44:14,2025-11-24 18:14:26,CORRECTIVE,SEAL_LEAK,2450.84,WO-35945
P-101,2025-11-25 03:29:04,2025-11-26 18:55:59,CORRECTIVE,OVERHEATING,3631.88,WO-84740
P-101,2025-11-27 16:31:01,2025-11-28 22:07:43,CORRECTIVE,BEARING_FAIL,1579.04,WO-15237
P-101,2025-12-17 17:30:51,2025-12-18 06:28:01,CORRECTIVE,SEAL_LEAK,4796.89,WO-63222
C-202,2025-12-18 03:54:05,2025-12-18 08:01:24,CORRECTIVE,VIBRATION,2629.25,WO-36614
M-302,2025-12-23 20:06:47,2025-12-23 22:49:00,CORRECTIVE,SENSOR_FAULT,3610.5,WO-84532
M-302,2025-12-25 07:20:10,2025-12-25 16:14:28,CORRECTIVE,SENSOR_FAULT,4167.74,WO-67384
